on_time_delivery_rate,flexibility_in_urgent_orders,competitive_pricing,payment_terms,financial_stability,quality_consistency,percentage_of_returns,adherence_to_specifications,category,best_quality
92,4,0,4,1,4,3,5,grocery,4.3950000000000005
88,3,-1,3,1,4,5,4,grocery,3.6449999999999996
95,5,1,5,1,5,2,5,grocery,5.0
78,2,0,2,0,3,8,3,grocery,2.535
90,4,0,4,1,4,4,4,grocery,4.045
86,3,0,3,1,3,6,4,grocery,3.295
93,4,1,4,1,4,3,5,grocery,4.4975000000000005
82,3,-1,3,0,3,7,3,grocery,2.74
97,5,1,5,1,5,1,5,grocery,5.0
89,4,0,4,1,4,4,4,grocery,4.0424999999999995
91,4,0,4,1,4,3,5,grocery,4.3925
85,3,0,3,1,3,6,4,grocery,3.2925000000000004
94,5,1,5,1,5,2,5,grocery,5.0
80,2,-1,2,0,3,8,3,grocery,2.44
87,3,0,3,1,4,5,4,grocery,3.7424999999999997
96,5,1,5,1,5,1,5,grocery,5.0
83,3,0,3,0,3,7,3,grocery,2.8425000000000002
90,4,0,4,1,4,4,4,grocery,4.045
92,4,1,4,1,4,3,5,grocery,4.495
86,3,0,3,1,3,6,4,grocery,3.295
95,5,1,5,1,5,2,5,grocery,5.0
88,3,0,3,1,4,5,4,grocery,3.745
93,4,0,4,1,4,3,5,grocery,4.3975
81,2,-1,2,0,3,8,3,grocery,2.4425
89,4,0,4,1,4,4,4,grocery,4.0424999999999995
87,3,0,3,1,3,5,4,stationery,3.3425000000000002
93,4,1,4,1,4,2,5,stationery,4.5425
82,2,-1,2,0,3,7,3,stationery,2.49
90,4,0,4,1,4,3,4,stationery,4.090000000000001
95,5,1,5,1,5,1,5,stationery,5.0
85,3,0,3,1,3,6,4,stationery,3.2925000000000004
91,4,0,4,1,4,3,5,stationery,4.3925
88,3,0,3,1,4,4,4,stationery,3.79
96,5,1,5,1,5,1,5,stationery,5.0
83,3,-1,3,0,3,7,3,stationery,2.7424999999999997
92,4,0,4,1,4,2,5,stationery,4.44
86,3,0,3,1,3,5,4,stationery,3.34
94,5,1,5,1,5,1,5,stationery,5.0
80,2,-1,2,0,3,8,3,stationery,2.44
89,4,0,4,1,4,3,4,stationery,4.0875
93,4,1,4,1,4,2,5,stationery,4.5425
87,3,0,3,1,3,5,4,stationery,3.3425000000000002
95,5,1,5,1,5,1,5,stationery,5.0
84,3,-1,3,0,3,6,3,stationery,2.79
90,4,0,4,1,4,3,4,stationery,4.090000000000001
92,4,0,4,1,4,2,5,stationery,4.44
86,3,0,3,1,3,5,4,stationery,3.34
94,5,1,5,1,5,1,5,stationery,5.0
81,2,-1,2,0,3,7,3,stationery,2.4875
88,3,0,3,1,4,4,4,stationery,3.79
96,5,1,5,1,5,1,5,pharmacy,5.0
91,4,0,4,1,4,3,5,pharmacy,4.3925
86,3,0,3,1,3,5,4,pharmacy,3.34
93,4,1,4,1,4,2,5,pharmacy,4.5425
83,3,-1,3,0,3,7,3,pharmacy,2.7424999999999997
95,5,1,5,1,5,1,5,pharmacy,5.0
89,4,0,4,1,4,3,4,pharmacy,4.0875
92,4,0,4,1,4,2,5,pharmacy,4.44
87,3,0,3,1,3,5,4,pharmacy,3.3425000000000002
94,5,1,5,1,5,1,5,pharmacy,5.0
82,2,-1,2,0,3,8,3,pharmacy,2.4450000000000003
90,4,0,4,1,4,3,4,pharmacy,4.090000000000001
97,5,1,5,1,5,1,5,pharmacy,5.0
85,3,0,3,1,3,6,4,pharmacy,3.2925000000000004
93,4,1,4,1,4,2,5,pharmacy,4.5425
88,3,0,3,1,4,4,4,pharmacy,3.79
95,5,1,5,1,5,1,5,pharmacy,5.0
84,3,-1,3,0,3,7,3,pharmacy,2.745
91,4,0,4,1,4,3,5,pharmacy,4.3925
89,4,0,4,1,4,3,4,pharmacy,4.0875
96,5,1,5,1,5,1,5,pharmacy,5.0
86,3,0,3,1,3,5,4,pharmacy,3.34
92,4,0,4,1,4,2,5,pharmacy,4.44
80,2,-1,2,0,3,8,3,pharmacy,2.44
94,5,1,5,1,5,1,5,pharmacy,5.0
88,3,0,3,1,4,5,4,clothing,3.745
93,4,1,4,1,4,3,5,clothing,4.4975000000000005
82,2,-1,2,0,3,9,3,clothing,2.4000000000000004
90,4,0,4,1,4,4,4,clothing,4.045
95,5,1,5,1,5,2,5,clothing,5.0
85,3,0,3,1,3,7,4,clothing,3.2475000000000005
91,4,0,4,1,4,4,5,clothing,4.3475
87,3,0,3,1,3,6,4,clothing,3.2975000000000003
96,5,1,5,1,5,1,5,clothing,5.0
83,3,-1,3,0,3,8,3,clothing,2.6975000000000007
92,4,0,4,1,4,3,5,clothing,4.3950000000000005
86,3,0,3,1,3,6,4,clothing,3.295
94,5,1,5,1,5,2,5,clothing,5.0
80,2,-1,2,0,3,10,3,clothing,2.35
89,4,0,4,1,4,4,4,clothing,4.0424999999999995
93,4,1,4,1,4,3,5,clothing,4.4975000000000005
87,3,0,3,1,3,6,4,clothing,3.2975000000000003
95,5,1,5,1,5,2,5,clothing,5.0
84,3,-1,3,0,3,8,3,clothing,2.7
90,4,0,4,1,4,4,4,clothing,4.045
92,4,0,4,1,4,3,5,clothing,4.3950000000000005
86,3,0,3,1,3,6,4,clothing,3.295
94,5,1,5,1,5,2,5,clothing,5.0
81,2,-1,2,0,3,9,3,clothing,2.3975
88,3,0,3,1,4,5,4,clothing,3.745
89,4,0,4,1,4,4,4,gifts,4.0424999999999995
94,5,1,5,1,5,2,5,gifts,5.0
83,3,-1,3,0,3,8,3,gifts,2.6975000000000007
91,4,0,4,1,4,3,5,gifts,4.3925
96,5,1,5,1,5,1,5,gifts,5.0
86,3,0,3,1,3,6,4,gifts,3.295
92,4,0,4,1,4,3,5,gifts,4.3950000000000005
88,3,0,3,1,4,5,4,gifts,3.745
95,5,1,5,1,5,2,5,gifts,5.0
82,2,-1,2,0,3,9,3,gifts,2.4000000000000004
90,4,0,4,1,4,4,4,gifts,4.045
87,3,0,3,1,3,6,4,gifts,3.2975000000000003
93,4,1,4,1,4,3,5,gifts,4.4975000000000005
80,2,-1,2,0,3,10,3,gifts,2.35
89,4,0,4,1,4,4,4,gifts,4.0424999999999995
94,5,1,5,1,5,2,5,gifts,5.0
85,3,0,3,1,3,7,4,gifts,3.2475000000000005
