on_time_delivery_rate,flexibility_in_urgent_orders,competitive_pricing,payment_terms,financial_stability,quality_consistency,percentage_of_returns,adherence_to_specifications,category,lowest_cost
92,4,0,4,1,4,3,5,grocery,3.035
88,3,-1,3,1,4,5,4,grocery,2.145
95,5,1,5,1,5,2,5,grocery,3.9075000000000006
78,2,0,2,0,3,8,3,grocery,1.7750000000000001
90,4,0,4,1,4,4,4,grocery,2.915
86,3,0,3,1,3,6,4,grocery,2.4250000000000003
93,4,1,4,1,4,3,5,grocery,3.4375
82,3,-1,3,0,3,7,3,grocery,1.75
97,5,1,5,1,5,1,5,grocery,3.9274999999999998
89,4,0,4,1,4,4,4,grocery,2.9124999999999996
91,4,0,4,1,4,3,5,grocery,3.0324999999999998
85,3,0,3,1,3,6,4,grocery,2.4225
94,5,1,5,1,5,2,5,grocery,3.9050000000000002
80,2,-1,2,0,3,8,3,grocery,1.3800000000000001
87,3,0,3,1,4,5,4,grocery,2.5424999999999995
96,5,1,5,1,5,1,5,grocery,3.925
83,3,0,3,0,3,7,3,grocery,2.1525
90,4,0,4,1,4,4,4,grocery,2.915
92,4,1,4,1,4,3,5,grocery,3.4349999999999996
86,3,0,3,1,3,6,4,grocery,2.4250000000000003
95,5,1,5,1,5,2,5,grocery,3.9075000000000006
88,3,0,3,1,4,5,4,grocery,2.5449999999999995
93,4,0,4,1,4,3,5,grocery,3.0374999999999996
81,2,-1,2,0,3,8,3,grocery,1.3825
89,4,0,4,1,4,4,4,grocery,2.9124999999999996
87,3,0,3,1,3,5,4,stationery,2.4424999999999994
93,4,1,4,1,4,2,5,stationery,3.4525
82,2,-1,2,0,3,7,3,stationery,1.4000000000000001
90,4,0,4,1,4,3,4,stationery,2.9299999999999997
95,5,1,5,1,5,1,5,stationery,3.9225
85,3,0,3,1,3,6,4,stationery,2.4225
91,4,0,4,1,4,3,5,stationery,3.0324999999999998
88,3,0,3,1,4,4,4,stationery,2.5599999999999996
96,5,1,5,1,5,1,5,stationery,3.925
83,3,-1,3,0,3,7,3,stationery,1.7525
92,4,0,4,1,4,2,5,stationery,3.0500000000000007
86,3,0,3,1,3,5,4,stationery,2.44
94,5,1,5,1,5,1,5,stationery,3.92
80,2,-1,2,0,3,8,3,stationery,1.3800000000000001
89,4,0,4,1,4,3,4,stationery,2.9274999999999993
93,4,1,4,1,4,2,5,stationery,3.4525
87,3,0,3,1,3,5,4,stationery,2.4424999999999994
95,5,1,5,1,5,1,5,stationery,3.9225
84,3,-1,3,0,3,6,3,stationery,1.77
90,4,0,4,1,4,3,4,stationery,2.9299999999999997
92,4,0,4,1,4,2,5,stationery,3.0500000000000007
86,3,0,3,1,3,5,4,stationery,2.44
94,5,1,5,1,5,1,5,stationery,3.92
81,2,-1,2,0,3,7,3,stationery,1.3975000000000002
88,3,0,3,1,4,4,4,stationery,2.5599999999999996
96,5,1,5,1,5,1,5,pharmacy,3.925
91,4,0,4,1,4,3,5,pharmacy,3.0324999999999998
86,3,0,3,1,3,5,4,pharmacy,2.44
93,4,1,4,1,4,2,5,pharmacy,3.4525
83,3,-1,3,0,3,7,3,pharmacy,1.7525
95,5,1,5,1,5,1,5,pharmacy,3.9225
