on_time_delivery_rate,flexibility_in_urgent_orders,competitive_pricing,payment_terms,financial_stability,quality_consistency,percentage_of_returns,adherence_to_specifications,category,quick_delivery
92,4,0,4,1,4,3,5,grocery,3.0776247538827586
88,3,-1,3,1,4,5,4,grocery,2.579518375081938
95,5,1,5,1,5,2,5,grocery,3.5865845192222436
78,2,0,2,0,3,8,3,grocery,2.193777328117822
90,4,0,4,1,4,4,4,grocery,3.1456735592269913
86,3,0,3,1,3,6,4,grocery,2.6725080999391215
93,4,1,4,1,4,3,5,grocery,3.075516644250561
82,3,-1,3,0,3,7,3,grocery,2.4604447180410904
97,5,1,5,1,5,1,5,grocery,3.457031704249766
89,4,0,4,1,4,4,4,grocery,3.031654318581576
91,4,0,4,1,4,3,5,grocery,2.8816741316482757
85,3,0,3,1,3,6,4,grocery,2.59429971692144
94,5,1,5,1,5,2,5,grocery,3.3996066633515545
80,2,-1,2,0,3,8,3,grocery,2.257459131575767
87,3,0,3,1,4,5,4,grocery,2.7159657354754874
96,5,1,5,1,5,1,5,grocery,3.4692112884209516
83,3,0,3,0,3,7,3,grocery,2.6919568314826274
90,4,0,4,1,4,4,4,grocery,2.93783397919085
92,4,1,4,1,4,3,5,grocery,3.123129820269402
86,3,0,3,1,3,6,4,grocery,2.6755379791313065
95,5,1,5,1,5,2,5,grocery,3.4816103583369404
88,3,0,3,1,4,5,4,grocery,2.6280174356356425
93,4,0,4,1,4,3,5,grocery,3.1062721461952965
81,2,-1,2,0,3,8,3,grocery,2.1859916770686922
89,4,0,4,1,4,4,4,grocery,3.0093589251065866
87,3,0,3,1,3,5,4,stationery,2.7748294100207964
93,4,1,4,1,4,2,5,stationery,3.1334712037558456
82,2,-1,2,0,3,7,3,stationery,2.2768618661362883
90,4,0,4,1,4,3,4,stationery,3.088713238049462
95,5,1,5,1,5,1,5,stationery,3.4587292308444675
85,3,0,3,1,3,6,4,stationery,2.6221501840902404
91,4,0,4,1,4,3,5,stationery,3.225567305433899
88,3,0,3,1,4,4,4,stationery,2.6691205831460887
96,5,1,5,1,5,1,5,stationery,3.3751264659134934
83,3,-1,3,0,3,7,3,stationery,2.493422715876986
92,4,0,4,1,4,2,5,stationery,3.0793282098359898
86,3,0,3,1,3,5,4,stationery,2.4987757809806
94,5,1,5,1,5,1,5,stationery,3.4596655791486923
80,2,-1,2,0,3,8,3,stationery,2.2530452549298206
89,4,0,4,1,4,3,4,stationery,3.0096111741476235
93,4,1,4,1,4,2,5,stationery,3.067758189519832
87,3,0,3,1,3,5,4,stationery,2.7498944031354595
95,5,1,5,1,5,1,5,stationery,3.5037030596698355
84,3,-1,3,0,3,6,3,stationery,2.6773947762277475
90,4,0,4,1,4,3,4,stationery,3.037936961256663
92,4,0,4,1,4,2,5,stationery,3.1506785487549833
86,3,0,3,1,3,5,4,stationery,2.7469762327022633
94,5,1,5,1,5,1,5,stationery,3.380068364015246
81,2,-1,2,0,3,7,3,stationery,2.190618207303807
88,3,0,3,1,4,4,4,stationery,2.7080804842028687
96,5,1,5,1,5,1,5,pharmacy,3.606162767120287
91,4,0,4,1,4,3,5,pharmacy,2.914775188082039
86,3,0,3,1,3,5,4,pharmacy,2.6234208458020984
93,4,1,4,1,4,2,5,pharmacy,3.1173184658441633
83,3,-1,3,0,3,7,3,pharmacy,2.4299122942940716
95,5,1,5,1,5,1,5,pharmacy,3.5601462781177053
89,4,0,4,1,4,3,4,pharmacy,2.8546858816000182
92,4,0,4,1,4,2,5,pharmacy,3.0900570733248505
87,3,0,3,1,3,5,4,pharmacy,2.730160105148307
94,5,1,5,1,5,1,5,pharmacy,3.481164402597275
82,2,-1,2,0,3,8,3,pharmacy,2.3217249006388374
90,4,0,4,1,4,3,4,pharmacy,2.920110019963087
97,5,1,5,1,5,1,5,pharmacy,3.6277843255237885
85,3,0,3,1,3,6,4,pharmacy,2.370855836392296
93,4,1,4,1,4,2,5,pharmacy,3.012968067510777
88,3,0,3,1,4,4,4,pharmacy,2.786194492483849
95,5,1,5,1,5,1,5,pharmacy,3.6749760198567283
84,3,-1,3,0,3,7,3,pharmacy,2.3400608085538934
91,4,0,4,1,4,3,5,pharmacy,3.1292339736795176
89,4,0,4,1,4,3,4,pharmacy,2.9997213562461447
96,5,1,5,1,5,1,5,pharmacy,3.354996424319765
